wave/AA   f_lambda/F_Ha
      849.581  7.27520e-10
      853.558  8.77935e-10
      858.380  1.07857e-09
      862.441  1.36357e-09
      866.540  1.77662e-09
      871.510  2.39897e-09
      875.696  3.39317e-09
      879.923  5.07643e-09
      884.190  8.13216e-09
      888.499  1.41149e-08
      892.850  2.67590e-08
      898.128  5.53462e-08
      902.574  1.25198e-07
      906.163  2.82915e-07
      910.689  6.59362e-07
      915.077  0.000504182
      920.436  0.000481934
      925.013  0.000474257
      929.635  0.000466638
      934.304  0.000459068
      939.019  0.000455201
      943.685  0.000447765
      948.398  0.000445713
      953.158  0.000436642
      957.966  0.000431218
      962.822  0.000425652
      967.625  0.000420169
      972.477  0.000416565
      977.378  0.000409469
      982.222  0.000404795
      987.114  0.000398823
      992.056  0.000393714
      997.047  0.000388472
      1000.11  0.000385325
      1001.10  0.000384290
      1002.09  0.000383262
      1003.08  0.000382230
      1004.08  0.000381204
      1005.07  0.000380178
      1006.07  0.000379151
      1007.07  0.000378289
      1008.07  0.000377267
      1009.08  0.000376244
      1010.08  0.000375221
      1011.09  0.000374204
      1012.10  0.000373187
      1013.11  0.000372169
      1014.13  0.000371153
      1015.14  0.000370138
      1016.16  0.000369125
      1017.18  0.000368276
      1018.21  0.000367265
      1019.23  0.000366253
      1020.26  0.000365248
      1021.29  0.000364239
      1022.32  0.000363236
      1023.35  0.000362232
      1024.38  0.000361228
      1025.42  0.000360385
      1026.35  0.000361333
      1027.39  0.000358428
      1028.43  0.000357428
      1029.47  0.000356431
      1030.52  0.000355437
      1031.57  0.000354601
      1032.62  0.000353609
      1033.56  0.000352656
      1034.62  0.000351667
      1035.67  0.000350676
      1036.73  0.000351262
      1037.80  0.000348861
      1038.74  0.000347915
      1039.81  0.000346930
      1040.88  0.000345947
      1041.95  0.000344967
      1042.90  0.000344180
      1043.98  0.000343201
      1045.05  0.000342223
      1046.13  0.000341248
      1047.09  0.000340466
      1048.18  0.000339493
      1049.26  0.000338519
      1050.23  0.000337587
      1051.32  0.000336615
      1052.41  0.000335800
      1053.39  0.000334872
      1054.48  0.000333906
      1055.58  0.000332940
      1056.56  0.000332014
      1057.66  0.000331204
      1058.77  0.000330243
      1059.75  0.000329322
      1060.86  0.000328363
      1061.85  0.000327593
      1062.97  0.000326637
      1064.08  0.000325683
      1065.08  0.000324920
      1066.20  0.000323965
      1067.20  0.000323050
      1068.32  0.000322101
      1069.33  0.000321341
      1070.46  0.000320391
      1071.46  0.000319480
      1072.60  0.000318687
      1073.61  0.000317779
      1074.75  0.000316837
      1075.76  0.000316083
      1076.90  0.000315141
      1077.92  0.000314237
      1079.07  0.000313451
      1080.09  0.000312549
      1081.12  0.000311650
      1082.27  0.000310866
      1083.30  0.000309969
      1084.46  0.000309186
      1085.50  0.000308291
      1086.66  0.000307358
      1087.70  0.000306616
      1088.74  0.000305723
      1089.91  0.000304946
      1090.95  0.000304058
      1092.00  0.000303319
      1093.18  0.000303140
      1094.23  0.000301658
      1095.28  0.000300772
      1096.46  0.000300001
      1097.52  0.000299117
      1098.58  0.000298383
      1099.77  0.000297467
      1100.83  0.000296736
      1101.90  0.000295856
      1102.96  0.000292466
      1104.17  0.000291704
      1105.24  0.000290832
      1106.31  0.000289960
      1107.39  0.000289090
      1108.60  0.000288332
      1109.68  0.000287464
      1110.76  0.000286597
      1111.84  0.000285875
      1112.93  0.000285010
      1114.15  0.000284113
      1115.24  0.000283395
      1116.34  0.000282535
      1117.43  0.000281673
      1118.53  0.000280961
      1119.63  0.000280101
      1120.87  0.000279210
      1121.97  0.000278499
      1123.08  0.000277644
      1124.18  0.000276790
      1125.29  0.000276083
      1126.41  0.000275231
      1127.52  0.000274526
      1128.64  0.000273676
      1129.76  0.000272826
      1130.88  0.000272123
      1132.14  0.000271245
      1133.27  0.000270543
      1134.40  0.000269698
      1135.53  0.000268856
      1136.66  0.000268158
      1137.79  0.000267316
      1138.93  0.000266619
      1140.07  0.000266067
      1141.21  0.000265088
      1142.36  0.000264251
      1143.50  0.000263414
      1144.65  0.000262723
      1145.80  0.000261889
      1146.96  0.000261200
      1147.97  0.000260400
      1149.12  0.000259713
      1150.28  0.000258884
      1151.45  0.000258198
      1152.61  0.000257372
      1153.78  0.000256688
      1154.95  0.000255861
      1156.12  0.000255179
      1157.29  0.000254358
      1158.47  0.000253677
      1159.50  0.000253030
      1160.68  0.000252209
      1161.87  0.000251532
      1163.05  0.000250713
      1164.24  0.000250038
      1165.43  0.000249223
      1166.47  0.000248580
      1167.67  0.000248045
      1168.87  0.000247095
      1170.07  0.000246423
      1171.27  0.000245613
      1172.33  0.000244975
      1173.53  0.000244307
      1174.74  0.000243499
      1175.95  0.000242833
      1177.02  0.000242058
      1178.23  0.000241393
      1179.45  0.000240728
      1180.68  0.000239926
      1181.75  0.000239295
      1182.97  0.000238633
      1184.20  0.000237836
      1185.44  0.000237175
      1186.52  0.000236409
      1187.75  0.000235752
      1188.99  0.000235095
      1190.08  0.000234332
      1191.32  0.000233676
      1192.57  0.000233022
      1193.66  0.000232399
      1194.91  0.000231608
      1196.01  0.000230986
      1197.27  0.000230336
      1198.53  0.000229005
      1199.63  0.000228252
      1200.90  0.000227739
      1202.00  0.000226986
      1203.27  0.000226206
      1204.55  0.000225559
      1205.66  0.000224946
      1206.94  0.000224302
      1208.06  0.000223555
      1209.34  0.000222912
      1210.46  0.000222302
      1211.75  0.000221526
      1212.88  0.000220918
      1214.17  0.000220280
      1215.30  0.000219805
      1216.60      2.80227
      1217.74  0.000293560
      1219.04  0.000347024
      1220.18  0.000400030
      1221.49  0.000452737
      1222.64  0.000505002
      1223.95  0.000556822
      1225.10  0.000608349
      1226.42  0.000659290
      1227.58  0.000709948
      1228.74  0.000760114
      1230.06  0.000809674
      1231.23  0.000859108
      1232.56  0.000907797
      1233.73  0.000956251
      1234.90   0.00100421
      1236.24   0.00105153
      1237.41   0.00109864
      1238.76   0.00114511
      1239.93   0.00119123
      1241.12   0.00123675
      1242.47   0.00128186
      1243.66   0.00132706
      1244.84   0.00137033
      1246.21   0.00141464
      1247.40   0.00145773
      1248.60   0.00150075
      1249.79   0.00154238
      1251.17   0.00158370
      1252.37   0.00162514
      1253.58   0.00166521
      1254.96   0.00170626
      1256.17   0.00174487
      1257.38   0.00178468
      1258.59   0.00182313
      1259.99   0.00186124
      1261.21   0.00189824
      1262.43   0.00193645
      1263.65   0.00197200
      1264.88   0.00200876
      1266.29   0.00204388
      1267.52   0.00207921
      1268.75   0.00211318
      1269.99   0.00214706
      1271.23   0.00218089
      1272.65   0.00221306
      1273.90   0.00224547
      1275.14   0.00227651
      1276.39   0.00230879
      1277.65   0.00233842
      1278.90   0.00236929
      1280.16   0.00239882
      1281.60   0.00242666
      1282.86   0.00245606
      1284.12   0.00248412
      1285.39   0.00251084
      1286.66   0.00253753
      1287.93   0.00256413
      1289.21   0.00258943
      1290.49   0.00261466
      1291.77   0.00263986
      1293.05   0.00266371
      1294.33   0.00268754
      1295.62   0.00271004
      1296.91   0.00273248
      1298.21   0.00275490
      1299.50   0.00277598
      1300.80   0.00279706
      1302.10   0.00281680
      1303.40   0.00283649
      1304.71   0.00285617
      1306.02   0.00287452
      1307.33   0.00289285
      1308.64   0.00291113
      1309.96   0.00292813
      1311.28   0.00294508
      1312.60   0.00296200
      1313.92   0.00297762
      1315.25   0.00299322
      1316.58   0.00300753
      1317.91   0.00302183
      1319.25   0.00303607
      1320.59   0.00305029
      1321.93   0.00306323
      1323.27   0.00307739
      1324.42   0.00308947
      1325.77   0.00310233
      1327.12   0.00311390
      1328.48   0.00312547
      1329.83   0.00313699
      1331.19   0.00314726
      1332.55   0.00315750
      1333.72   0.00316820
      1335.09   0.00317837
      1336.46   0.00935802
      1337.83   0.00319747
      1339.21   0.00320636
      1340.59   0.00321400
      1341.77   0.00322333
      1343.16   0.00323093
      1344.54   0.00323851
      1345.93   0.00324609
      1347.13   0.00325411
      1348.52   0.00326161
      1349.92   0.00326792
      1351.32   0.00327418
      1352.52   0.00328092
      1353.93   0.00328715
      1355.34   0.00329214
      1356.75   0.00329834
      1357.96   0.00330498
      1359.38   0.00330876
      1360.80   0.00331367
      1362.02   0.00331909
      1363.45   0.00332279
      1364.87   0.00332770
      1366.10   0.00333185
      1367.54   0.00333551
      1368.97   0.00333918
      1370.21   0.00334329
      1371.65   0.00334690
      1373.10   0.00335052
      1374.34   0.00335340
      1375.79   0.00335700
      1377.25   0.00335936
      1378.50   0.00336222
      1379.96   0.00336459
      1381.21   0.00336743
      1382.68   0.00336976
      1384.15   0.00337207
      1385.41   0.00337370
      1386.89   0.00337601
      1388.15   0.00337880
      1389.63   0.00337990
      1391.12   0.00338097
      1392.39   0.00338254
      1393.88   0.00338480
      1395.16   0.00338635
      1396.66   0.00338623
      1397.94   0.00338778
      1399.45   0.00338882
      1400.74   0.00339034
      1402.25   0.00339019
      1403.54   0.00339171
      1405.06   0.00339153
      1406.36   0.00339305
      1407.88   0.00339284
      1409.18   0.00339317
      1410.71   0.00339412
      1412.02   0.00339445
      1413.55   0.00339424
      1414.87   0.00339454
      1416.19   0.00339367
      1417.73   0.00339344
      1419.05   0.00339370
      1420.60   0.00339347
      1421.93   0.00339257
      1423.49   0.00339230
      1424.82   0.00339141
      1426.16   0.00339168
      1427.72   0.00339025
      1429.06   0.00338932
      1430.41   0.00338843
      1431.98   0.00338697
      1433.33   0.00338608
      1434.91   0.00338462
      1436.27   0.00338370
      1437.63   0.00338275
      1439.22   0.00338130
      1440.58   0.00338035
      1441.95   0.00337827
      1443.55   0.00337678
      1444.92   0.00337471
      1446.30   0.00337376
      1447.67   0.00337169
      1449.28   0.00336905
      1450.67   0.00336808
      1452.05   0.00336601
      1453.68   0.00336338
      1455.07   0.00336128
      1456.46   0.00335918
      1457.86   0.00335706
      1459.49   0.00335444
      1460.90   0.00335232
      1462.30   0.00335023
      1463.71   0.00334699
      1465.36   0.00334434
      1466.77   0.00334223
      1468.19   0.00333900
      1469.61   0.00333689
      1471.03   0.00333367
      1472.70   0.00333101
      1474.13   0.00332776
      1475.56   0.00332455
      1476.99   0.00332131
      1478.43   0.00331807
      1479.87   0.00331487
      1481.55   0.00331108
      1483.00   0.00330786
      1484.45   0.00330463
      1485.90   0.00330141
      1487.36   0.00329817
      1488.81   0.00329385
      1490.27   0.00329061
      1491.98   0.00328686
      1493.45   0.00328253
      1494.92   0.00327930
      1496.39   0.00327498
      1497.86   0.00327176
      1499.34   0.00326746
      1500.82   0.00326315
      1502.31   0.00325992
      1503.79   0.00325560
      1505.28   0.00325131
      1506.78   0.00324700
      1508.27   0.00324378
      1509.77   0.00323948
      1511.27   0.00323519
      1512.78   0.00323090
      1514.29   0.00322659
      1516.05   0.00322177
      1517.56   0.00321747
      1519.08   0.00321211
      1520.60   0.00320782
      1522.12   0.00320354
      1523.65   0.00319927
      1524.92   0.00319553
      1526.46   0.00319018
      1527.99   0.00318592
      1529.53   0.00318164
      1531.07   0.00317631
      1532.62   0.00317204
      1534.16   0.00316672
      1535.71   0.00316244
      1537.27   0.00315714
      1538.83   0.00315288
      1540.39   0.00314756
      1541.95   0.00314331
      1543.52   0.00313801
      1545.08   0.00313272
      1546.66   0.00312849
      1547.97   0.00385901
      1549.55   0.00311842
      1551.13   0.00311420
      1552.72   0.00310893
      1554.31   0.00310364
      1555.90   0.00309838
      1557.49   0.00309416
